	Ler.1	Ler.2	Ler.3	Mp.1	Mp.2	Mp.3
AT1G47580	34.56868503031221	36.052742936683046	36.99969592461266	30.23310804852695	33.57344273590246	31.39685923969152
AT1G47590	2.204525236349954	1.8271835716037093	2.07875802304816	1.259414902259746	1.9122852214265758	2.293845437323863
AT1G47595	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47600	37.78742467245709	31.724780590943066	33.92114529043589	20.3651466510345	25.841146699640362	30.699885122037717
AT1G47603	0.2636818080115348	0.0	0.15683375171153371	0.05146790985704688	0.10419793426376041	0.0
AT1G47606	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47610	0.7247482837345612	0.44576490849031664	0.5526522679358806	0.1088178665548991	0.33045630580792584	0.442484750210821
AT1G47620	0.5241518310858981	0.32238571413383427	0.519595307917965	0.31479665583037697	0.5974808139267827	0.48002016132169006
AT1G47625	0.944551903348326	1.1013989644492697	0.31211359505508335	0.46091644114017777	0.6220904270694144	1.0932943270867155
AT1G47630	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47640	41.158048720688605	42.329722380179	39.86589919212047	36.7951938605125	37.929196015352375	38.40242649922897
AT1G47650	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47655	3.4504959654373955	2.1458486546250506	3.192466978996721	4.564836356566166	2.34827878118938	3.5754552398757014
AT1G47657	0.3006785255995279	0.06010414925913637	0.11922587451009264	0.0	0.0	0.05966187325429764
AT1G47660	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47670	20.66643707410925	22.24733168728552	23.166951189801654	23.494766642535033	23.160827447272283	21.78966643629948
AT1G47680	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47690	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47695	0.0	0.0	0.0	0.0	0.0	0.3343776805570409
AT1G47700	0.0	0.0	0.0	0.09597331731963912	0.0	0.09756377947287666
AT1G47705	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47710	48.19576086834833	43.151735919996156	48.47459949630503	44.883926350523886	44.46066501780961	45.534621359906915
AT1G47720	8.374766669219248	8.574527475299274	7.492016006921402	8.572030011397631	9.147985398613043	8.916738148187758
AT1G47730	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47740	44.32974083838981	42.860688695756714	41.030170359133905	43.1724099644679	42.457084400388354	48.74885681425054
AT1G47750	17.22448907820481	17.297428964275106	15.52989553360086	14.969077207339025	15.233645778800474	16.51914514787328
AT1G47760	0.09199419902337913	0.36778370241446723	0.18238896187462064	0.35912596158316573	0.18176463470824702	0.45634671043764885
AT1G47765	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47770	0.0	0.0	0.23787298263906836	0.11709365899515843	0.11852936535181806	0.11903412576464241
AT1G47780	0.18536831103210896	0.18527104009128786	0.0	0.18090970314751975	0.0	0.1839077243063725
AT1G47783	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47786	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47790	0.0	0.0	0.12564572929140536	0.0	0.06260781862172954	0.0
AT1G47800	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47810	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47813	0.3802426892966337	0.38004315916161613	0.0	0.37109682696927127	0.0	0.3772466139617897
AT1G47816	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47820	10.270025146984421	10.377434209070612	10.068870087050977	9.472288871042132	9.365443552729952	9.51729471296296
AT1G47830	31.285790891495182	34.552658109852004	27.524764589232706	31.678281352835736	33.84388473722734	33.44482243715044
AT1G47840	5.543015547503923	4.55351250608388	5.043199548977605	3.594109821875968	4.8759084548720235	4.5953389381213405
AT1G47845	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47860	3.9260830520871943	3.7000136837076045	3.30969238133458	3.6657125590867046	3.3747141257078606	3.703457612673668
AT1G47870	8.414818159746359	8.498469575191576	7.642888613314095	8.427403878054395	8.704830396604107	8.829319146734937
AT1G47880	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47885	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47890	0.4261340483496757	0.3549253641595553	0.11734155752789292	0.1617328125201326	0.1403278693245662	0.14092545923859962
AT1G47900	24.2158017180088	22.05302345723288	22.96838712271607	25.386104737655685	24.196080490868415	24.964849453353736
AT1G47910	0.0	0.0	0.0	0.021103494097115167	0.0	0.0
AT1G47915	0.0	0.24139549197561938	0.0	0.0	0.23860308725545132	0.0
AT1G47920	0.3086899434339866	0.06170559203706506	0.24480516781173062	0.2410120941182611	0.12198359331794097	0.18375459547680847
AT1G47930	0.0	0.0	0.0649891703231407	0.0	0.0	0.0
AT1G47940	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47950	0.0	0.0	0.0	0.0	0.0	0.0
AT1G47960	12.762268534409595	15.714088217166825	12.699428293039686	15.675683702049488	14.381769853551745	15.983603264323474
AT1G47970	78.49142929417391	73.87050779883774	67.8396182831404	79.44926931165556	78.36579454304623	84.66249651856764
AT1G47980	0.24902543883406744	0.49778952837289775	0.3085757835242322	0.36455355797988864	0.06150390242436907	0.1235316368136843
AT1G47990	0.36169426542850525	0.4217552132159399	0.5378250119668692	1.0001512043927923	1.488844467224056	1.6147995304949783
AT1G48000	0.7009726047432692	0.6227597986261777	0.6176701818106901	0.9121497637690072	0.6925003467298445	1.1590822960485663
AT1G48010	0.0	0.0	0.0	0.0	0.0	0.0
AT1G48020	0.09781968919900208	0.09776835888722314	0.2909079880031878	0.09546686181927164	0.0	0.09704893103238654
AT1G48030	204.0046790226977	194.68381907981677	200.74357447903418	207.31758794402268	220.35857469467402	210.20630099157125
AT1G48040	5.200469876626837	5.481992419139477	5.235812445266508	5.789110500720632	4.856651442344247	5.723813008549018
AT1G48050	12.333589550386487	10.57859025609713	10.896790155946908	13.602019363667234	12.587790634331142	13.248877346805914
AT1G48060	0.2942354143366809	0.5881620320358345	0.2916775858550481	0.43073738844647563	0.5086885263015525	0.5838340454170556
AT1G48070	0.7365628252931482	0.8588723712841161	0.7301597844583324	0.4792310017152841	0.24255346949478	0.9743455592390596
AT1G48080	0.0	0.0	0.0	0.0	0.0	0.0
AT1G48090	16.801661229371025	16.345111031608266	15.930467890404405	19.91168895456641	19.287526906706887	19.74659260677172
AT1G48095	0.0	0.0	0.0	0.0	0.0	0.0
