	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G17790	377.167126714436	1.65919680494724	0.12307775019856	13.4808834437619	2.02665526871847e-41	1.92775449160501e-38
AT5G17900	482.394916327713	1.50580986022179	0.111868032022929	13.4605913145334	2.66772740305255e-41	2.41670695788912e-38
AT3G43350	132.007805271418	-2.95601531866215	0.220640830460521	-13.3974084148086	6.26115254298389e-41	5.41418936262388e-38
AT5G27345	715.134180900079	1.26770895179797	0.094808498927582	13.3712585489439	8.90217247515069e-41	7.36325778988116e-38
AT1G62560	425.247996513009	1.65043144633574	0.123599275295887	13.3530835224134	1.13645460928225e-40	9.00829686957726e-38
AT2G43550	822.781005553415	1.25470312522026	0.096022681809295	13.0667369581715	5.10069383215804e-39	3.88142397851898e-36
AT2G42380	608.443695658508	1.35843518489256	0.104109451489388	13.0481446733107	6.51138306881643e-39	4.76432890389091e-36
AT2G38530	935.613207554131	-1.5574882875647	0.120040398588496	-12.9747010662955	1.70259301130856e-38	1.19963442396793e-35
AT3G19710	2404.14932666016	1.23089854437142	0.0952250483278417	12.9262055098536	3.20237637606723e-38	2.17578600636797e-35
AT1G31690	429.292724175792	2.06311927660295	0.161938143057689	12.7401687931422	3.53628910784607e-37	2.31980565474702e-34
AT1G67105	4216.75141270993	7.52859563590407	0.598072884123467	12.5880905751779	2.45541186380753e-36	1.55705850990248e-33
AT5G47500	1067.93445882106	1.14453848894162	0.0918548739243417	12.4602913274297	1.22920759388323e-35	7.5433694406563e-33
AT5G46750	1427.81263545037	0.929088660731848	0.0748299307536961	12.4160032138738	2.13987596930817e-35	1.27215626375371e-32
AT3G44970	849.484276286175	-1.43682410904108	0.117743193746971	-12.2030332566722	2.99457050250433e-34	1.7263245224134e-31
AT1G73260	217.336264895365	-2.00997399590058	0.16596475909503	-12.1108481515024	9.253235912404e-34	5.17745764698746e-31
AT1G42705	289.013333271532	1.78002511583928	0.14706927369921	12.103310712473	1.01436108859593e-33	5.36033481929138e-31
AT4G13770	3028.5120090983	0.843378540922298	0.0696789475719645	12.103778405253	1.00859681613578e-33	5.36033481929138e-31
AT5G46760	2305.85915707426	0.869148452158059	0.0731984119922907	11.8738703272634	1.61805036942744e-32	8.31940276432099e-30
AT5G62360	630.29741105942	1.15565944768607	0.10060155626708	11.487490756286	1.52476663153133e-30	7.63346326269788e-28
AT2G05510	1800.83416358068	-1.30343833946241	0.113513091723594	-11.4827137528445	1.61141970278137e-30	7.8604226732597e-28
AT2G39850	1106.28090258132	0.981325755336781	0.0858730825679184	11.4276293105076	3.04303504713687e-30	1.44726746841829e-27
AT3G04640	106.429834764408	-4.00928581804142	0.355021779946534	-11.2930700157191	1.41988925651222e-29	6.58828615021669e-27
AT4G16260	1061.38601244775	-1.31419099516832	0.116596828949114	-11.2712413108754	1.81985941718918e-29	8.24309656014453e-27
AT1G52820	182.198576521706	2.30157065467145	0.205131440821736	11.2199799574925	3.25344173579888e-29	1.439383153066e-26
AT3G48360	11053.4525224425	-0.661148549788084	0.0591468067036465	-11.178093740559	5.21991693665985e-29	2.25690226825038e-26
AT3G49120	3489.58680591314	-0.969197066967749	0.0867462283409047	-11.1727862467852	5.54148588177867e-29	2.34269394255461e-26
AT4G18970	1076.74848949572	1.01754874824392	0.0911900133228744	11.1585546614749	6.5040351598737e-29	2.68984271481385e-26
AT5G15920	269.518764643116	1.57320081426306	0.141491234206371	11.1187157500406	1.01725718521182e-28	4.11751078541909e-26
AT4G12030	282.217815994264	1.57698983862185	0.142355454626472	11.0778321965935	1.60716716652603e-28	6.36973920333148e-26
AT1G78370	4678.88872875202	1.12443782631818	0.101631777934273	11.0638409479107	1.8787598366095e-28	7.29418921054266e-26
AT3G01420	2868.05016292968	-0.989213050482922	0.0896852530327065	-11.0298295096762	2.74384709746907e-28	1.04397894364503e-25
